,Cash,Australian Short Duration Bond,Australian Fixed Income,Global Fixed Income (Hedged),Global Credit (Hedged),Australian Listed Equity,Global Listed Equity (Unhedged),Global Listed Equity (Hedged),Australian Listed Property,Global Infrastructure (Unhedged),Global Private Equity
Aug 2019,0.0008358950,0.0005096780,0.0151181200,0.0220329180,0.0231000170,-0.0227181020,-0.0251357790,-0.0212790700,0.0132321570,0.0236403920,0.0281632140
Sep 2019,0.0008455170,0.0002725190,-0.0048745320,-0.0055545250,-0.0061114610,0.0190790510,0.0191375400,0.0218416190,-0.0273132310,0.0132344340,0.0293272670
Oct 2019,0.0008073860,0.0032954360,-0.0049000480,-0.0028091840,0.0015860620,-0.0037904960,0.0266231900,0.0195699680,0.0137084750,-0.0161108120,-0.0154891370
Nov 2019,0.0008221130,-0.0010435350,0.0082196150,-0.0020075110,0.0003410720,0.0318125700,0.0233918130,0.0284260700,0.0226457630,0.0078670710,0.0570165410
Dec 2019,0.0007219530,0.0047340910,-0.0164311290,-0.0028331280,0.0009254520,-0.0202479970,0.0343587400,0.0268566140,-0.0423680700,-0.0004155660,-0.0174236150
Jan 2020,0.0008154970,0.0022973980,0.0232796100,0.0181270340,0.0206817680,0.0488751880,-0.0119843970,-0.0079245490,0.0629828460,0.0803736670,0.0856254950
Feb 2020,0.0007539460,-0.0034194690,0.0085968590,0.0121219550,0.0086056880,-0.0776436120,-0.0814248450,-0.0792204610,-0.0468820730,-0.0636010940,-0.0701905610
Mar 2020,0.0009934480,0.0020367760,-0.0021382050,-0.0172013670,-0.0644764830,-0.2082914710,-0.1349669390,-0.1341858870,-0.3515843690,-0.0787110970,-0.2126754160
Apr 2020,0.0004747100,0.0033270670,-0.0006926750,0.0150254090,0.0361022690,0.0902231490,0.1050584530,0.0977444310,0.1368889780,0.0067615050,0.0659515970
May 2020,0.0000890348,0.0034554430,0.0028538420,0.0026820940,0.0127282920,0.0458292810,0.0414420280,0.0420556920,0.0705053110,0.0160320850,0.0435058050
Jun 2020,0.0000749929,0.0033945110,0.0030939980,0.0048172380,0.0156502060,0.0243283790,0.0296151590,0.0277365610,-0.0121627580,-0.0620863290,-0.0135982090
Jul 2020,0.0000908702,0.0022334330,0.0037206820,0.0103071810,0.0230187520,0.0060253920,0.0515311350,0.0383955530,0.0062683500,-0.0003389470,-0.0440562750
Aug 2020,0.0000929392,0.0017345310,-0.0042202820,-0.0071246230,-0.0068591560,0.0304929780,0.0599400960,0.0562326680,0.0794749730,-0.0272441160,-0.0107901850
Sep 2020,0.0000716699,0.0028201450,0.0107548190,0.0036506270,-0.0000933315,-0.0359477800,-0.0330076260,-0.0279562600,-0.0114543400,0.0182767430,0.0086912490
Oct 2020,0.0001113600,0.0030164770,0.0027858890,-0.0000154048,0.0009334020,0.0188754290,-0.0254907140,-0.0259800710,-0.0027765690,0.0096606070,-0.0103411960
Nov 2020,0.0000702276,0.0006134370,-0.0010873490,0.0053038690,0.0176481560,0.1022812680,0.1214661200,0.1102327980,0.1287535700,0.0179618940,0.1042741990
Dec 2020,0.0000256500,0.0011694620,-0.0027212380,0.0025617750,0.0043297980,0.0131963860,0.0450218260,0.0376259160,0.0060228150,-0.0357398600,0.0181960050
Jan 2021,0.0000123602,-0.0011624130,-0.0041928170,-0.0057182470,-0.0074589420,0.0033173750,-0.0053024230,-0.0021070750,-0.0407026990,-0.0083429270,0.0331944040
